design_id,n_primary_runs,n_primary_pass,pass_rate,quality_mean,quality_std,seed_robustness,weight_quality_effective,weight_seed_robustness_effective,quality_bundle,stage_weight_viability,stage_weight_quality_bundle,score_total
46,50,50,1.0,0.7187081911819458,0.04407723871653886,0.7722910320500688,0.7,0.3,0.7347830434423827,0.5,0.5,0.8673915217211914
29,50,49,0.98,0.7315556331882439,0.043230720649135766,0.7996804032364386,0.7,0.3,0.7519930642027023,0.5,0.5,0.8659965321013512
43,50,50,1.0,0.7458966142041646,0.04635335699873284,0.6986464745436456,0.7,0.3,0.7317215723060089,0.5,0.5,0.8658607861530044
52,50,50,1.0,0.7459356683147855,0.046447375986180456,0.695604459204659,0.7,0.3,0.7308363055817475,0.5,0.5,0.8654181527908738
159,50,49,0.98,0.7439746442968393,0.04435019741123906,0.7634593634825854,0.7,0.3,0.7498200600525631,0.5,0.5,0.8649100300262815
150,50,50,1.0,0.735830917857745,0.045909952043171165,0.7129929880811664,0.7,0.3,0.7289795389247713,0.5,0.5,0.8644897694623856
11,50,50,1.0,0.7432189308703321,0.04650541702612373,0.6937265222198926,0.7,0.3,0.7283712082752002,0.5,0.5,0.8641856041376001
4,50,50,1.0,0.7194972975595152,0.04483349599841381,0.7478220783404194,0.7,0.3,0.7279947317937865,0.5,0.5,0.8639973658968932
33,50,49,0.98,0.7446285097894297,0.04464206196829557,0.7540159895048865,0.7,0.3,0.7474447537040667,0.5,0.5,0.8637223768520333
2,50,49,0.98,0.7449808860513295,0.0448404377806348,0.7475974746878018,0.7,0.3,0.7457658626422712,0.5,0.5,0.8628829313211356
1,50,50,1.0,0.7273137180517553,0.04571077961228505,0.7194372777539983,0.7,0.3,0.7249507859624282,0.5,0.5,0.8624753929812141
125,50,50,1.0,0.7177182319048349,0.04508904933102724,0.7395535660021824,0.7,0.3,0.724268832134039,0.5,0.5,0.8621344160670195
13,50,50,1.0,0.7503927088103667,0.04754695720433533,0.6600271463352533,0.7,0.3,0.7232830400678326,0.5,0.5,0.8616415200339163
102,50,50,1.0,0.7238118044918874,0.045647648381315506,0.7214799095477671,0.7,0.3,0.7231122360086513,0.5,0.5,0.8615561180043256
64,50,50,1.0,0.7421006372505018,0.04701067987483745,0.6773785761535353,0.7,0.3,0.7226840189214118,0.5,0.5,0.8613420094607058
148,50,49,0.98,0.7424112531505264,0.045021658403429775,0.7417340216848628,0.7,0.3,0.7422080837108274,0.5,0.5,0.8611040418554137
78,50,50,1.0,0.7473175266066395,0.04749284819040013,0.6617778613220533,0.7,0.3,0.7216556270212636,0.5,0.5,0.8608278135106318
105,50,48,0.96,0.7323966016790465,0.042348549153220026,0.8282233528580513,0.7,0.3,0.761144627032748,0.5,0.5,0.860572313516374
140,50,50,1.0,0.73580969490632,0.04689954464060808,0.6809743933007468,0.7,0.3,0.719359104424648,0.5,0.5,0.859679552212324
14,50,50,1.0,0.7358346625871556,0.04693902034131675,0.6796971439883148,0.7,0.3,0.7189934070075034,0.5,0.5,0.8594967035037517
8,50,50,1.0,0.7473212011375361,0.04782804376570196,0.6509324979618417,0.7,0.3,0.7184045901848277,0.5,0.5,0.8592022950924139
109,50,49,0.98,0.7572766462914187,0.04662538453102236,0.6898449340429842,0.7,0.3,0.7370471326168883,0.5,0.5,0.8585235663084441
158,50,50,1.0,0.7475957000348405,0.04799263779362483,0.6456070039181422,0.7,0.3,0.716999091199831,0.5,0.5,0.8584995455999155
25,50,50,1.0,0.7328695800093569,0.047036533177900575,0.6765420840085279,0.7,0.3,0.7159713312091082,0.5,0.5,0.8579856656045541
160,50,49,0.98,0.7560686875358443,0.04695224330084958,0.6792693107727309,0.7,0.3,0.7330288745069103,0.5,0.5,0.8565144372534552
118,50,50,1.0,0.7221507865005027,0.04658122192517336,0.6912738297166067,0.7,0.3,0.7128876994653338,0.5,0.5,0.856443849732667
23,50,49,0.98,0.757375537956355,0.04710698022894292,0.6742627464441174,0.7,0.3,0.7324417005026838,0.5,0.5,0.8562208502513419
36,50,50,1.0,0.737605329203709,0.04781965191811488,0.6512040189574976,0.7,0.3,0.7116849361298455,0.5,0.5,0.8558424680649228
31,50,49,0.98,0.7285212852362472,0.04513590578145207,0.7380375100990894,0.7,0.3,0.7313761526950997,0.5,0.5,0.8556880763475498
30,50,50,1.0,0.7509805139849238,0.048927136697298146,0.6153709837650411,0.7,0.3,0.710297654918959,0.5,0.5,0.8551488274594795
50,50,50,1.0,0.73262565796987,0.048042474987887634,0.6439945050653549,0.7,0.3,0.7060363120985155,0.5,0.5,0.8530181560492578
76,50,49,0.98,0.7422671575121191,0.04678551032178243,0.6846640112859627,0.7,0.3,0.7249862136442722,0.5,0.5,0.8524931068221361
16,50,50,1.0,0.7498780835090746,0.04946399557151931,0.5980007378754891,0.7,0.3,0.704314879818999,0.5,0.5,0.8521574399094995
166,50,49,0.98,0.7452383517270913,0.04739918384538628,0.6648084020881619,0.7,0.3,0.7211093668354125,0.5,0.5,0.8505546834177062
69,50,49,0.98,0.7332044030636757,0.04659735640215118,0.690751793394099,0.7,0.3,0.7204686201628028,0.5,0.5,0.8502343100814014
163,50,50,1.0,0.7349980406390775,0.04886243584297053,0.6174644012400995,0.7,0.3,0.699737948819384,0.5,0.5,0.849868974409692
154,50,50,1.0,0.7407469392804535,0.0493552820202154,0.6015182006731654,0.7,0.3,0.698978317698267,0.5,0.5,0.8494891588491336
90,50,49,0.98,0.7339932636098284,0.04690328677968368,0.6808533151570906,0.7,0.3,0.718051279074007,0.5,0.5,0.8490256395370035
22,50,50,1.0,0.728434842560014,0.04910225676598457,0.6097049162017706,0.7,0.3,0.692815864652541,0.5,0.5,0.8464079323262705
116,50,49,0.98,0.7270601960498231,0.04697385269433929,0.6785701317212811,0.7,0.3,0.7125131767512605,0.5,0.5,0.8462565883756302
117,50,50,1.0,0.7265055251665933,0.04923877927819831,0.6052876853046334,0.7,0.3,0.6901401732080052,0.5,0.5,0.8450700866040026
15,50,50,1.0,0.737406856795634,0.050158338140397225,0.5755350551194953,0.7,0.3,0.6888453162927923,0.5,0.5,0.8444226581463962
61,50,49,0.98,0.7429234880179767,0.04859517816270532,0.6261116116057897,0.7,0.3,0.7078799250943205,0.5,0.5,0.8439399625471602
62,50,48,0.96,0.7379693007622605,0.04639514857741584,0.6972942942357583,0.7,0.3,0.7257667988043098,0.5,0.5,0.842883399402155
32,50,50,1.0,0.7295809088191787,0.05003674992335177,0.5794690819722986,0.7,0.3,0.6845473607651147,0.5,0.5,0.8422736803825573
133,50,49,0.98,0.7381279993596692,0.04871357275712207,0.6222809154661455,0.7,0.3,0.703373874191612,0.5,0.5,0.841686937095806
28,50,50,1.0,0.7220045883926756,0.04995492982715841,0.5821163981625119,0.7,0.3,0.6800381313236264,0.5,0.5,0.8400190656618132
20,50,50,1.0,0.7473169143272156,0.05188985513302014,0.5195112519041138,0.7,0.3,0.6789752156002851,0.5,0.5,0.8394876078001425
83,50,50,1.0,0.7373205206581838,0.051541569454628934,0.5307801498658758,0.7,0.3,0.6753584094204914,0.5,0.5,0.8376792047102457
75,50,50,1.0,0.7132511497060472,0.04987327490761674,0.5847583700076977,0.7,0.3,0.6747033157965423,0.5,0.5,0.8373516578982712
72,50,50,1.0,0.7390683680351529,0.05184033632379504,0.5211134493040277,0.7,0.3,0.6736818924158153,0.5,0.5,0.8368409462079076
10,50,50,1.0,0.7311722645916643,0.05134043622189061,0.5372878819291552,0.7,0.3,0.6730069497929115,0.5,0.5,0.8365034748964557
122,50,48,0.96,0.7492131826959411,0.048584410898349806,0.6264599899942151,0.7,0.3,0.7123872248854233,0.5,0.5,0.8361936124427116
157,50,49,0.98,0.7316035490967797,0.049439968806356115,0.5987781317844948,0.7,0.3,0.6917559239030941,0.5,0.5,0.8358779619515471
162,50,50,1.0,0.7252373940841622,0.05110795805958068,0.5448097895238336,0.7,0.3,0.6711091127160635,0.5,0.5,0.8355545563580318
96,50,50,1.0,0.748809633300019,0.05281185729137899,0.489679568066113,0.7,0.3,0.6710706137298472,0.5,0.5,0.8355353068649236
73,50,50,1.0,0.7272790385522535,0.051314811034417714,0.5381169933190263,0.7,0.3,0.6705304249822853,0.5,0.5,0.8352652124911426
97,50,48,0.96,0.7290791644361246,0.047345794048481944,0.6665358465707868,0.7,0.3,0.7103161690765233,0.5,0.5,0.8351580845382616
151,50,50,1.0,0.7509996720188542,0.053601202257196445,0.4641400514327698,0.7,0.3,0.6649417858430289,0.5,0.5,0.8324708929215144
91,50,48,0.96,0.730876842530836,0.048196701206004305,0.6390044649264288,0.7,0.3,0.7033151292495138,0.5,0.5,0.8316575646247568
141,50,50,1.0,0.7322525445733592,0.05285911280294342,0.48815060040826885,0.7,0.3,0.6590219613238321,0.5,0.5,0.8295109806619161
99,50,50,1.0,0.7246254950306585,0.05238419456909946,0.5035167364552311,0.7,0.3,0.6582928674580303,0.5,0.5,0.8291464337290151
135,50,50,1.0,0.7420443762278213,0.053854836976851964,0.4559336164493948,0.7,0.3,0.6562111482942933,0.5,0.5,0.8281055741471466
26,50,50,1.0,0.7242528772426001,0.052658847857888595,0.4946302387372553,0.7,0.3,0.6553660856909966,0.5,0.5,0.8276830428454983
84,50,49,0.98,0.7392722092153121,0.051707842574935964,0.5254003282344533,0.7,0.3,0.6751106449210544,0.5,0.5,0.8275553224605272
17,50,49,0.98,0.7340521259224587,0.051331520922829256,0.5375763393698547,0.7,0.3,0.6751093899566775,0.5,0.5,0.8275546949783388
60,50,48,0.96,0.735750993047311,0.04967852178771391,0.5910596714165218,0.7,0.3,0.6923435965580742,0.5,0.5,0.8261717982790371
92,50,49,0.98,0.7452046497302566,0.05242290596401812,0.5022642165086433,0.7,0.3,0.6723225197637726,0.5,0.5,0.8261612598818863
59,50,50,1.0,0.7182670587618439,0.05259702869770844,0.496630418048015,0.7,0.3,0.6517760665476952,0.5,0.5,0.8258880332738476
121,50,50,1.0,0.7249626338850115,0.0531189427922024,0.4797437154341576,0.7,0.3,0.6513969583497553,0.5,0.5,0.8256984791748776
0,50,50,1.0,0.711834281449421,0.052273580283437565,0.5070956981397737,0.7,0.3,0.6504127064565267,0.5,0.5,0.8252063532282634
126,50,50,1.0,0.7210659916914356,0.05312212387817584,0.4796407903486134,0.7,0.3,0.6486384312885889,0.5,0.5,0.8243192156442944
18,50,50,1.0,0.7147751633061716,0.05282825053252837,0.4891491593435142,0.7,0.3,0.6470873621173744,0.5,0.5,0.8235436810586871
93,50,50,1.0,0.7167182990412584,0.053263768375766275,0.47505783592578243,0.7,0.3,0.6442201601066156,0.5,0.5,0.8221100800533079
55,50,50,1.0,0.7074977085578475,0.05285496823729279,0.488284699196449,0.7,0.3,0.641733805749428,0.5,0.5,0.820866902874714
131,50,50,1.0,0.7336089918216977,0.0548867999245281,0.42254411501655287,0.7,0.3,0.6402895287801542,0.5,0.5,0.8201447643900771
56,50,50,1.0,0.7171413697910834,0.053820501563324116,0.45704455007522593,0.7,0.3,0.6391123238763261,0.5,0.5,0.819556161938163
5,50,50,1.0,0.7061713230426219,0.053170735584076194,0.4780679425758635,0.7,0.3,0.6377403089025944,0.5,0.5,0.8188701544512972
120,50,48,0.96,0.7411178653044108,0.05157800018922772,0.5296014214359211,0.7,0.3,0.677662932143864,0.5,0.5,0.818831466071932
168,50,49,0.98,0.7311202860323789,0.05320428916929629,0.4769823052627157,0.7,0.3,0.65487889180148,0.5,0.5,0.8174394459007399
88,50,49,0.98,0.7249613909476547,0.052883456768810705,0.48736294336589425,0.7,0.3,0.6536818566731265,0.5,0.5,0.8168409283365632
39,50,49,0.98,0.7421588877862774,0.054445691560506757,0.4368163215775499,0.7,0.3,0.6505561179236591,0.5,0.5,0.8152780589618296
58,50,50,1.0,0.7023337905301689,0.053692851162714696,0.4611747208760759,0.7,0.3,0.629986069633941,0.5,0.5,0.8149930348169705
132,50,49,0.98,0.7393736648950285,0.05431275107477974,0.4411176548266367,0.7,0.3,0.649896861874511,0.5,0.5,0.8149484309372554
34,50,49,0.98,0.7116881182938765,0.05266168087644798,0.4945385754876581,0.7,0.3,0.646543255452011,0.5,0.5,0.8132716277260055
45,50,49,0.98,0.7365605914469442,0.054635324269791945,0.43068069274257104,0.7,0.3,0.6447966218356322,0.5,0.5,0.8123983109178161
152,50,50,1.0,0.719434772533233,0.055577962904210264,0.4001813089173679,0.7,0.3,0.6236587334484733,0.5,0.5,0.8118293667242367
12,50,50,1.0,0.7309438047340613,0.05689984786251179,0.3574112852371064,0.7,0.3,0.6188840488849747,0.5,0.5,0.8094420244424874
165,50,50,1.0,0.7160657131457144,0.05596726774470972,0.3875852224406776,0.7,0.3,0.6175215659342034,0.5,0.5,0.8087607829671017
98,50,50,1.0,0.7163417716533985,0.056200235608215084,0.38004747040235576,0.7,0.3,0.6154534812780856,0.5,0.5,0.8077267406390428
42,50,49,0.98,0.7114973885260408,0.054118016969833156,0.44741834100028177,0.7,0.3,0.632273674268313,0.5,0.5,0.8061368371341565
104,50,50,1.0,0.7471085119801235,0.05909662122302609,0.2863339588333871,0.7,0.3,0.6088761460361026,0.5,0.5,0.8044380730180514
142,50,50,1.0,0.7271476849202188,0.057750106845774536,0.32990087548463554,0.7,0.3,0.6079736420895437,0.5,0.5,0.8039868210447718
